alim_grp_code;alim_grp_nom;alim_code;alim_nom;energie_kcal;eau_g_100g;prot_g_100g;gluc_g_100g;lipi_g_100g;sucr_g_100g;fibr_g_100g
04;viandes, œufs, poissons;6580;Veau, pied, cru;184;0;19,1;0;12;0;0
04;viandes, œufs, poissons;6581;Veau, jarret, braisé ou bouilli;207;56,7;37,4;0;6,43;0;0
04;viandes, œufs, poissons;6582;Veau, tête, bouillie/cuite à l'eau;187;0;21;0;11,4;0;0
04;viandes, œufs, poissons;6583;Veau, jarret, cru;118;75,4;21,3;0;3,66;0;0
04;;6584;Viande blanche, cuite (aliment moyen);175;64,3;27,5;0,76;6,84;0,03;0,00099
04;;6585;Viande rouge, cuite (aliment moyen);194;62,7;26,1;0,028;10;0;0
04;viandes, œufs, poissons;6590;Veau, collier, cru;133;73,8;19,8;0;5,92;0;0
04;viandes, œufs, poissons;6591;Veau, collier, braisé ou bouilli;233;53,9;34,9;0;10,4;0;0
04;viandes, œufs, poissons;6900;Cheval, viande, crue;167;70;18,8;0,6;10;0;0
04;viandes, œufs, poissons;6901;Cheval, steak, cru;129;72,6;21,4;0,4;4,6;0;0
04;viandes, œufs, poissons;6902;Cheval, viande, rôtie/cuite au four;138;68,6;28;0;2,85;0;0
04;viandes, œufs, poissons;6903;Cheval, tende de tranche, crue;106;0;22,7;0;1,68;0;0
04;viandes, œufs, poissons;6904;Cheval, faux0filet, cru;121;0;22,2;0;3,58;0;0
04;viandes, œufs, poissons;6905;Cheval, entrecôte, crue;118;0;22,1;0;3,34;0;0
04;viandes, œufs, poissons;6906;Cheval, tende de tranche, grillée/poêlée;135;68,7;27,9;0;2,58;0;0
04;viandes, œufs, poissons;6907;Cheval, faux0filet, grillé/poêlé;163;65,5;26,6;0;6,27;0;0
04;viandes, œufs, poissons;6908;Cheval, entrecôte, grillée/poêlée;169;64,4;28,2;0;6,24;0;0
04;viandes, œufs, poissons;6909;Cheval, faux0filet, rôti/cuit au four;173;63,2;28,3;0;6,68;0;0
04;viandes, œufs, poissons;6910;Cheval, tende de tranche, rôtie/cuite au four;144;66,6;29,7;0;2,75;0;0
04;;6999;Viande cuite (aliment moyen);183;63,6;26,8;0,53;8,16;0,023;0,008
03;produits céréaliers;7000;Pain (aliment moyen);278;29,3;8,22;55,1;1,98;3,32;3,25
03;produits céréaliers;7001;Pain, baguette, courante;279;28,2;8,55;54,2;2,5;2,7;2,9
03;produits céréaliers;7002;Pain, baguette ou boule, au levain;258;34,4;7,41;53,1;1,3;2,4;2,1
03;produits céréaliers;7004;Pain grillé, domestique;335;13,2;9,56;69,4;1,16;3,1;4,2
03;produits céréaliers;7007;Pain, baguette, de tradition française;283;27,5;7,98;59,1;1,1;2,86;2,3
03;produits céréaliers;7010;Pain, baguette ou boule, bis (à la farine T80 ou T110) ;262;30,2;8,6;54;0,33;2,39;4,2
03;produits céréaliers;7012;Pain courant français, 400g ou boule;263;36,9;7,9;52;2;0;2,6
03;produits céréaliers;7025;Pain, baguette ou boule, bio (à la farine T55 jusqu'à T110);245;35,7;9,39;47,1;1,05;1,37;5
03;produits céréaliers;7100;Pain, baguette ou boule, de campagne;265;31;8,03;54,5;0,93;1,5;3,35
03;produits céréaliers;7110;Pain complet ou intégral (à la farine T150);252;37,8;10,2;40,8;3,7;2,9;7,3
03;produits céréaliers;7111;Pain de mie, complet;259;35,4;8,51;43,7;4,06;5,69;6,23
03;produits céréaliers;7112;Pain de mie, au son;275;34,3;6,84;46;5,5;3,53;7
03;produits céréaliers;7113;Pain de mie, multicéréale;271;34,4;8,81;43,6;5,41;4,42;5,74
03;produits céréaliers;7115;Pain au son;253;33,3;8,3;44,4;3,28;2,04;6,21
03;produits céréaliers;7125;Pain de seigle, et froment;236;36;5,58;46,3;1,24;1,9;8,9
03;produits céréaliers;7130;Pain, sans gluten;260;33,8;2,62;51,8;3,3;4,9;6,5
03;produits céréaliers;7160;Pain, baguette, sans sel;276;26,9;8,34;56,5;1,3;8,6;2,68
03;produits céréaliers;7170;Pain panini;269;30,9;7,66;55,9;1,1;2,3;2,6
03;produits céréaliers;7180;Pain pita;256;34,1;7,53;53;0,92;2,18;2,68
03;produits céréaliers;7200;Pain de mie, courant;281;31,8;7,61;50,8;4,35;6,03;3,42
03;produits céréaliers;7201;Pain de mie, sans croûte, préemballé;251;39,5;7,22;46,1;3,58;9,66;2,48
03;produits céréaliers;7210;Pain de mie brioché, préemballé;317;0;7,92;50,5;8,68;9,33;2,85
